"text","score"
"RT @clanceman65: Mr President Elect @realDonaldTrump it is my mission to advance #DiversityCoalition @transition2017 please select @brunell…",0
"@realDonaldTrump @DebMeinhardt <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>",0
"RT @USACitizen111: @chuckwoolery @realDonaldTrump 

Mr. Trump is wiser, more educated, and infinitely more experienced than I am. I wholehe…",2
"@FoxNews Cue @CNN to start #fakenews that Apple was already planning on doing that, even if @realDonaldTrump  wasn't president!/sarcasm#MAGA",0
"RT @renoomokri: Why is it that it took the election of @realDonaldTrump for the US to condemn the killings of Shiites in Nigeria? https://t…",-1
"RT @ChelsSchilling: Signs of divine intervention in @realDonaldTrump victory: https://t.co/D3xYknd1v3 https://t.co/2W3burqokG",2
"@transition2017 @realDonaldTrump Reminds me of what Susan Rice told us about Bergdhal. <U+263A>",0
"RT @steph93065: In case you missed it, @realDonaldTrump Campaign manger @KellyannePolls was the first woman to run a successful POTUS campa…",1
"RT @GershKuntzman: Here's how I will show solidarity with American Muslims if hate persists under @realdonaldtrump: https://t.co/wMK7w30p6z…",0
"@realDonaldTrump are you serious, why not just keep loretta lynch? First you said @TGowdySC now you want this ""Im n… https://t.co/MiuhaA6dva",0
"@SenWarren @realDonaldTrump @SenatorSessions https://t.co/ovLVPo7qum
Soros, who you met with this week is a pillar of moral leadership.",0
"@Mvka_bby @realDonaldTrump I KNOW THIS MANS DID NOT <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>",-1
"RT @steph93065: Why I am a Trump Supporter...
@realDonaldTrump 
#Trump2016 https://t.co/L4x4udy63J",2
"RT @Anneredmond13: @realDonaldTrump @FoxNews @HarveyLevinTMZ  
Why are you taking phone calls from Foreign leaders on an unsecured line? ht…",1
"RT @Nanas_Ranch: Penzeys Spices very hateful toward anyone who voted for @realDonaldTrump
I can't even believe what I just read @PenzeysSpi…",0
"RT @Anneredmond13: @transition2017 @realDonaldTrump Now we know what you meant by What have African Americans to lose,a man deemed too raci…",0
"RT @renoomokri: Why is it that it took the election of @realDonaldTrump for the US to condemn the killings of Shiites in Nigeria? https://t…",-1
"@FoxNews @seanhannity @realDonaldTrump  Atlanta man shot to death after saying he voted for Trump
https://t.co/lgWJphwSA2",-1
"@realDonaldTrump SAID preExisting conditions will B covered after repeal of ACA ACA Mandate ensures INS COs must cover at reasonable premium",1
"RT @ChelsSchilling: Meet Trump-bashing leftist professor who wrote 'hit list' of 'fake' news sites
https://t.co/NuPLg08mJo @realDonaldTrump…",-1
"@MELANIATRUMP dresses beautifully. She does not need anyone's help or neative narratives. We love Melania &amp;… https://t.co/LXY5MroRCO",2
"RT @GershKuntzman: Here's how I will show solidarity with American Muslims if hate persists under @realdonaldtrump: https://t.co/wMK7w30p6z…",0
"RT @renoomokri: Why is it that it took the election of @realDonaldTrump for the US to condemn the killings of Shiites in Nigeria? https://t…",-1
"RT @steph93065: Why I am a Trump Supporter...
@realDonaldTrump 
#Trump2016 https://t.co/L4x4udy63J",2
"@realDonaldTrump https://t.co/rxdzgJPwTH",0
"RT @steph93065: Why I am a Trump Supporter...
@realDonaldTrump 
#Trump2016 https://t.co/L4x4udy63J",2
"RT @SrErickLui: ¿Quien es mas guapo?<ed><U+00A0><U+00BC><ed><U+00BC><U+009A>
RT: @Apixelados 
FAV: @realDonaldTrump https://t.co/bbXdTEkzdn",1
"In @realDonaldTrump's America, is California the new Texas? Great piece by @melmason @jazmineulloa https://t.co/z02gAsNwSB",2
"@SenWarren @realDonaldTrump @SenatorSessions Sadly, ""moral leadership"" and anything in Washington are oxymoronic these days.",-1
"RT @SCTeamTrump: RT @realDonaldTrump: Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be ke… https:…",2
"@SenWarren @realDonaldTrump @SenatorSessions no one is listening to you.",0
"RT @GershKuntzman: Here's how I will show solidarity with American Muslims if hate persists under @realdonaldtrump: https://t.co/wMK7w30p6z…",0
"RT @steph93065: Why I am a Trump Supporter...
@realDonaldTrump 
#Trump2016 https://t.co/L4x4udy63J",2
"@KeithOlbermann @realDonaldTrump @MotherJones ""They're not gonna get em!!""",-1
"Here's how I will show solidarity with American Muslims if hate persists under @realdonaldtrump:… https://t.co/5ZAY4o64pJ",0
"RT @steph93065: Why I am a Trump Supporter...
@realDonaldTrump 
#Trump2016 https://t.co/L4x4udy63J",2
"RT @BristowatHome: .@henrymcmaster won't be @realDonaldTrump's AG, but he approves of the man who got the job. #thestate https://t.co/l18iF…",0
"I think Hillary should be considered for Ambassador to Libya @realDonaldTrump @scpolitico https://t.co/IajIgyDdtB",0
"@realDonaldTrump @FoxNews @HarveyLevinTMZ 

https://t.co/7oqK7IBZqM",0
"RT @renoomokri: Why is it that it took the election of @realDonaldTrump for the US to condemn the killings of Shiites in Nigeria? https://t…",-1
"RT @renoomokri: Why is it that it took the election of @realDonaldTrump for the US to condemn the killings of Shiites in Nigeria? https://t…",-1
"@realDonaldTrump https://t.co/N8U4h12tOt
The Judge should give him JAIL Time &amp; Community Service Cleaning Streets of Hollywood &amp; a Huge Fine",0
"If @realDonaldTrump was trying to put the xenophobe &amp; racist labels behind him, @SenatorSessions and @RepMikePompeo might not be the best",-1
"RT @renoomokri: Why is it that it took the election of @realDonaldTrump for the US to condemn the killings of Shiites in Nigeria? https://t…",-1
"@realDonaldTrump What do you say now that it's already been reported and proven you lied? What does it take to embrass you and your family?",0
"@PeterFeaman @realDonaldTrump has lost the popular vote by an alarming 1.14 million votes. Please abstain or vote against him.",1
"@realDonaldTrump Please correct this terrible decision/mistake... ""TREY GOWDY"" for ATTORNEY GENERAL!!! NO ONE MORE… https://t.co/WfFrS4czwO",0
".@SenWarren @MittRomney @realDonaldTrump uhhhh who says some of these people aren't gender fluid? You bigot",0
"RT @Chakahungry: @realDonaldTrump @TimSClark @DanScavino @CA4TRUMP @DonaldTrumpCA  
#PhilAm4Trump #MAGA
#TrumpsLittleSupporters #TrumpUnite…",0
"RT @renoomokri: Why is it that it took the election of @realDonaldTrump for the US to condemn the killings of Shiites in Nigeria? https://t…",-1
"@SenWarren @realDonaldTrump monster for you! Stop spewing your venom",-3
"@MissAmiaSays @jack @realDonaldTrump @twitter  and to rape his wife WTF is going on here it's so sad that people have this mindset",-2
