"text","score"
"@FoxNews @MittRomney @realDonaldTrump  oh, the fly on the wall.....",0
"@KyIoR3n @realDonaldTrump your from hillarys camp  your from the dark. Tell me what does John 3:16 say",-1
"@realDonaldTrump My husband came here from Austria in 1955. He had to report yearly and had a alien identification card.",0
"@realDonaldTrump This is not who we are as a nation.  #stopthisnow #stopthehate #dontbethiskindofpresident https://t.co/gLBatCrANa",-1
"RT @nanse4410044: @realDonaldTrump @JasonsGrandpa amen bro",0
"@realDonaldTrump @JasonsGrandpa amen bro",0
".@realDonaldTrump .@mike_pence .@jeffsessions .@TGowdySC -&gt; Always thought killing humans 2 harvest organs was Ille… https://t.co/jzP5YBskT9",-1
"@realDonaldTrump US needs to have a strict immigration policy. Only people who will benefit our country need apply. https://t.co/TzOVrgGEla",1
"@realDonaldTrump we all got confidence in you Mr President",2
"RT @Brooks8314: @realDonaldTrump https://t.co/jxhWVHy2Ho",0
"RT @NeilTurner_: @realDonaldTrump Europe has been naive about their refugee crisis. Don't repeat the mistake. https://t.co/BM3UxA7heR",-3
"@realDonaldTrump @FoxNews @HarveyLevinTMZ",0
"@realDonaldTrump @FoxNews @HarveyLevinTMZ Will be fun watching your disciplines turn on you when u do nothing u promised. #TrumpProtest",1
"@muzikgirl11 @realDonaldTrump @VanJones68 Sorry Stalin was not available Mr. Jones. Are you the pot kettle or real disappointment. Piss Off",-1
"But I believe G-d is with @realDonaldTrump and has great plans to work through him to bless the earth. I am glad he… https://t.co/gEZH1RSmw5",3
"Sadly @realDonaldTrump is turning out as bad as many watching expected. Thx 4 teaching me FRED so I can point 2 man… https://t.co/e8Rus8sWhQ",-2
"@realDonaldTrump please dont open yourself up to Romney! He will sabotage you. Doesnt have ur interest in mind. Would be a mega mistake.",-1
"@realDonaldTrump Critics of screening Muslims forget: Islam is not just a religion; it is also a political ideology. https://t.co/IE1XBePp17",-1
"Hey @realDonaldTrump can you make our school/vending machine food great again?",1
"RT @stickggs: @realDonaldTrump Make them pay! IRS says thousands of federal workers &amp; retirees owe $3.5 billion in back taxes https://t.co/…",1
"@realDonaldTrump are you going to address the mass incarceration crisis?",-1
"RT @Brooks8314: @realDonaldTrump https://t.co/jxhWVHy2Ho",0
"I hope @realDonaldTrump realizes that this is what is going to get him impeached. The country won't stand for this… https://t.co/D80F52Ce92",1
"@realDonaldTrump   Please Trey Gowdy for something!!!",0
"@KeithOlbermann A one-hour special on @realDonaldTrump? So... what does @FoxNews do after the first 15 minutes?",2
"@realDonaldTrump THAT'S AWESOME!!!!!  GOOD JOB PRES!  TRUMP THAT!",3
"RT @Brooks8314: @realDonaldTrump https://t.co/jxhWVHy2Ho",0
"@LSUJEFF @tgnoble Well thank you @krauthammer for giving permission to @realDonaldTrump and accepting him #CorruptMedia and friends.",2
".@realDonaldTrump please appoint people to these only to organize dismantling: Dept of Education, IRS, Dept of HHS, EPA &amp; Federal Reserve.",1
"@TheresaMechele @realDonaldTrump I would pick Rudy Giuliani... I would never pick Mitt Romney! Just saying",1
"@GeorgeTakei  @realDonaldTrump is not gonna send any Muslims or anyone to any kind of camp. Oh gee the lies you people spread.",-2
"@realDonaldTrump Make them pay! IRS says thousands of federal workers &amp; retirees owe $3.5 billion in back taxes https://t.co/IMRa42sXsI",1
"@realDonaldTrump Corrupt Dem Run IRS says thousands of federal workers &amp; retirees owe $3.5 Billion in back taxes! https://t.co/I3uaeBUAlH",0
"@FoozlyFlem @realDonaldTrump It is. Those broke ass towns were on the warpath man. I got one in Dumas.",0
"@CheyosWorld customer service has gone out the window. * blames @realDonaldTrump *",0
"That is #SeditiousActivity....had #HRC won, the DOJ/FBI &amp; The rest of the alphabet agencies would be locking people… https://t.co/jUgHrEsBuH",1
"@realDonaldTrump this should be very interesting.",1
"Melania is an angel.  To take out on her what they dislike in someone else is so totally DEMOCRAT AND LEFT.… https://t.co/uVoSPmO55d",0
"RT @Brooks8314: @realDonaldTrump https://t.co/jxhWVHy2Ho",0
"Why is it that @cnn refuses 2 make headlines about continuing protests &amp; all the ways we r trying 2 stop @realDonaldtrump #hesnotmypresident",-2
"@deannalwhite @Jeff_Daniels @amymaranda8 @JMcKenzie @DWStweets @realDonaldTrump @SenatorSessions @NAACP @nytimes Sickening! Nazi Party",-1
"RT @Brooks8314: @realDonaldTrump https://t.co/jxhWVHy2Ho",0
"RT @NeilTurner_: @realDonaldTrump #MAGA https://t.co/CfrnQwXGFW",0
"RT @NeilTurner_: @realDonaldTrump #MAGA https://t.co/mJ3IOa6MZ3",0
"Tell @realDonaldTrump: condemn all acts of bigotry and intimidation against children. Visit https://t.co/Hb5VnqKHOE #StandUpToIt",-3
"Hello @realDonaldTrump. Please make @seanhannity your press secretary and not Laura Ingram or Milo. Thank you.",0
"@sophietheallet 
@sophietheallet you might take a lesson from grubhub #boycottsophie
@realDonaldTrump https://t.co/DGuK9oADiw",0
"RT @Brooks8314: @realDonaldTrump https://t.co/jxhWVHy2Ho",0
".@BorisJohnson @BenJarlath I'm sure @realDonaldTrump will oppose the barbaric slaughter of Syrian women and childre… https://t.co/TZ0OXPFSo8",-3
"@realDonaldTrump But this isn't true!",-1
"RT @Brooks8314: @realDonaldTrump https://t.co/jxhWVHy2Ho",0
"@realDonaldTrump Somebody tell your wife that she needs to know her place. She doesn't sit in on matters of Government. Appearances Matters!",0
"@muzikgirl11 @realDonaldTrump @VanJones68 I believe Trump knows a little more than you on this topic. He knows what he wants.",0
"RT @Brooks8314: @realDonaldTrump https://t.co/jxhWVHy2Ho",0
"RT @Brooks8314: @realDonaldTrump https://t.co/jxhWVHy2Ho",0
"@realDonaldTrump I would hope so",1
"Finally signed up for Twitter !! Now Donald can talk directly to me. None of this old phone stuff. Twit me any ole time @realDonaldTrump .",-1
"https://t.co/7bKQ6LkmS3 #sovereignty #kansas #2A @realDonaldTrump @KrisKobach1787 @KASBTopeka @JeremysArmy21",0
"@realDonaldTrump I know you will do a great job, maybe now I'll find one, haven't had a job in such a long time. I have faith in you sir.",2
"@FoxNews @johnlegend @realDonaldTrump paraphrasing Chappelle's words celebrity's aren't political scientists",0
"@JaredWyand @heifer109 @Support that's a CITY/STATE problem. No need for @realDonaldTrump to siphon $ frm other states to fix THEIR problem!",-1
"Big concerns 4 cancer community. Loss of care, needed medications, caps &amp; increased cost from insurance/Pharma… https://t.co/nHgCAcmt3s",-2
"@Varneyco @realDonaldTrump @MittRomney NO!  He made his bed during election!",0
