"text","score"
"Good news 4 elections in 2018 when the backlash will be severe for Rs for any move to privatize soc security or med… https://t.co/aj7pNWgYig",0
"RT @PedroCalderonMi: . @MarthaTagle un ex funcionario de @SRE_mx sugiere que México le ayudó a @realDonaldTrump a ganar las elecciones.
htt…",0
"@BronxLaugher @KamSammich @WaluigiSoap @ABCPolitics @NAACP @NAACP_LDF The truth is @realDonaldTrump running the country now That truth hurts",-1
"@windsun33 @realDonaldTrump I have seen no statement? Please publish.",0
"@realDonaldTrump liar. You had nothing to do with it",-2
"@transition2017 @realDonaldTrump all racist white men. Way to go america.",-1
"@realDonaldTrump Less than 2 weeks as #PresidentElectTrump and he kept @Ford from moving from #Mexico. Staying in #Kentucky #Ohio",0
"As president, @realDonaldTrump will have too many chances to enrich his wealth at our expense - take action: https://t.co/HlwBlLrLDN",1
"@SpeakerRyan @realDonaldTrump Do give a thought to people you'd hurt by ""killing"" Medicare? What that would cost in lives not just $$?",-2
"@realDonaldTrump, this lady might be an asset to your administration &gt; https://t.co/pLQu7jvqBO",0
"Is this how @SpeakerRyan and @realDonaldTrump keep their promises to voters? #handsoffmedicare https://t.co/3CRZDM4xz3",1
"@tmcs28 @realDonaldTrump no",0
"RT @PedroCalderonMi: . @MarthaTagle un ex funcionario de @SRE_mx sugiere que México le ayudó a @realDonaldTrump a ganar las elecciones.
htt…",0
"Uhh ""thanks"" I guess? @realDonaldTrump @Lin_Manuel https://t.co/PtHpNFBDoW",0
"@seanhannity @BarackObama @LilPicture @realDonaldTrump you are one dumb ass fuck, trump will do more for the poor and unemployment in a year",-4
"RT @ldbrillante: @POTUS @VP @realDonaldTrump @GovPenceIN 
If our govt really wanted us to vote, why don't we have nationwide automatic vote…",1
"@BDOH @KatiePavlich @realDonaldTrump @SandraSmithFox @AdamGreen So what - can we please put competence above color!!",0
"Chris Hill, Dean @josefkorbel @UofDenver on MSNBC @realDonaldTrump @MSNBC @HallieJackson https://t.co/E4QLiLkD9n",0
"@windsun33 @realDonaldTrump we are all happy to know you know everything about Ford and their plans!",1
"@realDonaldTrump Who he picks for his staff will B a reflection of him, just as Obama was a pure corporatist ,will… https://t.co/nc7hzY15oc",2
"@realDonaldTrump @FoxNews @HarveyLevinTMZ great job pres elect can't wait for the change I remember when my dad was saporting his family",1
"@JoeBiden What do your constituents think of @realDonaldTrump's 100 day action plan? Promote the poll https://t.co/aAY7NLn9YK …",0
"@realDonaldTrump Q: Are they going to get you a really small pen for your tiny hands with which to sign legislation?",0
"Coloradans will pay for @realDonaldTrump appointees #copolitics https://t.co/L5tSko0eaq",0
"@BarackObama What do your constituents think of @realDonaldTrump's 100 day action plan? promote the poll https://t.co/aAY7NLn9YK …",0
"RT @apoliticvoice: Day 3: hello @GovofCO -notice how ford is working with @realDonaldTrump  Now it's your turn to work w/him to remove crim…",1
"@jaredpolis What do your constituents think of @realDonaldTrump's 100 day action plan? promote the poll https://t.co/aAY7NLn9YK …",0
"@SenCoryGardner What do your constituents think of @realDonaldTrump's 100 day action plan? promote the poll https://t.co/aAY7NLn9YK …",0
"@sophietheallet, if you're a LEGAL immigrant why are you upset with @realDonaldTrump and refusing to dress @MELANIATRUMP? #fashionpolitics",-2
"@SenBennetCO What do your constituents think of @realDonaldTrump's 100 day action plan? promote the poll https://t.co/aAY7NLn9YK …",0
"@millie_hamner What do your constituents think of @realDonaldTrump's 100 day action plan? promote the poll https://t.co/aAY7NLEKQi …",0
"RT @SamThiessen: There's no good reason to allow voting in a foreign language unless you aim to commit voter fraud. @realDonaldTrump @JohnF…",1
"@POTUS @VP @realDonaldTrump @GovPenceIN 
If our govt really wanted us to vote, why don't we have nationwide automatic voter registration?",1
"Stock market: best week in 5 yrs! 

US Dollar: highest rating since 80's!

Ford Motor Co: Plant staying in Kentucky!

GO! @realDonaldTrump",1
"@LPCO @RobertBentley76 @realDonaldTrump Sessions as AG is even worse, tbh",-1
"RT @apoliticvoice: Day 3: hello @GovofCO -notice how ford is working with @realDonaldTrump  Now it's your turn to work w/him to remove crim…",1
". @MarthaTagle un ex funcionario de @SRE_mx sugiere que México le ayudó a @realDonaldTrump a ganar las elecciones.
https://t.co/x7JMcxHM7h",0
"What do you think of @realDonaldTrump's 100 day action plan? Take the poll &amp; make your voice heard! https://t.co/aAY7NLn9YK",0
"Five Year #Lobbying Ban for #Trump Admin Officials. https://t.co/AILqLXCD4E  #ContractwithAmerica @realdonaldtrump",1
"Trouble is, even the women are men. @SenWarren @MittRomney @realDonaldTrump",-1
"Ambassador Chris Hill discussing Trump Transitions @ambchrishill @realDonaldTrump @MSNBC https://t.co/25XF5ebpKt",1
"RT @CHI_AllieM: Health care = #1 issue Americans want @realDonaldTrump to focus on in 1st 100 days as prez, w/ 21% of those surveyed https:…",0
"RT @rellimycnan: So true @realDonaldTrump https://t.co/fyOCPFupOA",0
"RT @apoliticvoice: Day 3: hello @GovofCO -notice how ford is working with @realDonaldTrump  Now it's your turn to work w/him to remove crim…",1
"@NYCitySasha @realDonaldTrump @NYDailyNews nooooooooooo!",0
"RT @AWWAACE: #AWWA's letter to President-Elect @realDonaldTrump's transition team: https://t.co/0hSANxablf. #water #infrastructure",0
"RT @rellimycnan: So true @realDonaldTrump https://t.co/fyOCPFupOA",0
"@realDonaldTrump they were never gonna move this plant. You did nothing Trump",0
"RT @apoliticvoice: Day 3: hello @GovofCO -notice how ford is working with @realDonaldTrump  Now it's your turn to work w/him to remove crim…",1
"RT @runnermatt: Guys this is just the beginning of @realDonaldTrump taking credit for shit he didn't do as prez",-2
"RT @SamThiessen: There's no good reason to allow voting in a foreign language unless you aim to commit voter fraud. @realDonaldTrump @JohnF…",1
"RT @apoliticvoice: Day 3: hello @GovofCO -notice how ford is working with @realDonaldTrump  Now it's your turn to work w/him to remove crim…",1
