"text","score"
"@FoxNews @realDonaldTrump Reminding you not to hire this turd.",-1
"RT @SEC_SAM: Picket Soros tell the world  Let me hear from you
#SorosRiots #SorosAgenda #SorosLeak 
@realDonaldTrump @RealJamesWoods @Pray4…",-1
"RT @SEC_SAM: Picket Soros tell the world  Let me hear from you
#SorosRiots #SorosAgenda #SorosLeak 
@realDonaldTrump @RealJamesWoods @Pray4…",-1
"RT @EthanHillBeauty: @realDonaldTrump hell to the damn no!",-2
"@realDonaldTrump put the heat on all of them to stay or come back. America First!",1
"@realDonaldTrump That is so Awesome! Your influence is already being felt Mr. President!",1
"It's not too late to make a different choice....with both @ethereumproject and @realDonaldTrump",-1
"FearsomeAmobe Plays Live Stream @Emeraled3452 @jacobestes098 @realDonaldTrump  https://t.co/vZijMSGHFX",0
"I'm going to give @realDonaldTrump a pass for now, since it's only been 10 days and nothing official. Not liking your picks. #draintheswamp",-1
"No #, he hasn't appointed any family members yet. There has been talk of security clearances, but @realDonaldTrump… https://t.co/oOg29MlmXH",-1
"@NationofJake @realDonaldTrump @ESPNDeportes That joke was so great, it was so huge and I'll tell you, you'll be so proud of it",1
"This needs to happen #freemilo #MiloYiannopoulos #LGBT #MiloForPressSecretary #Milo @realDonaldTrump https://t.co/Fn0FesgBUh",0
"@FAFPAC serious question. Smart business plan by @realDonaldTrump to piss off the wealthy elite? Poor rust belt are… https://t.co/w4tMcUEGdT",0
"Yea, I need the @realDonaldTrump administration to speak out against any ties to the Alt-Right.  https://t.co/AS9Y6nhciS",-1
"RT @reedsprague: @moekamerow @Dragonsnestling @LouDobbs @realDonaldTrump I was emotionally damaged (yes, it's permanent). Exposed to whinin…",-1
"RT @SEC_SAM: Picket Soros tell the world  Let me hear from you
#SorosRiots #SorosAgenda #SorosLeak 
@realDonaldTrump @RealJamesWoods @Pray4…",-1
"It's a tight little box. Only way out is overturn it all. @realDonaldTrump needs to call @tedcruz &amp; get down to the… https://t.co/DXeTx0zEd0",-3
"@realDonaldTrump #notmypresident #FascistDonald #RiggedSystem #NeverTrump #electoralvotes #AuditTheVote… https://t.co/tpFOsVSonm",0
"And he wants to lock me up for being gay @realDonaldTrump https://t.co/MSXksHWxLL",0
"Not with top level security clearance. And I don't think @realDonaldTrump wants him around for just ribbon cuttings. https://t.co/3jb3RhabpZ",1
"@realDonaldTrump do you really need Kissinger on your administration",0
"I'm so sick of all this bellyaching from the left! Over 60 million people want @realDonaldTrump to kick ass and take names. I hope he does!",-1
"RT @SEC_SAM: #WakeUpAmerica #MAGA #2A #CCOT #TCOT .@realDonaldTrump .@Callisto1947 .@bfraser747 .@healthandcents https://t.co/2m6gZJ2hLt",0
"@realDonaldTrump your about as fresh as a Foghat concert.",1
"since @realDonaldTrump, Amerikkka feels free to show it's TRUE COLORS! .A nation of hypocrites since 1776!… https://t.co/BA8E3Yo3Rj",0
"Looks like Israel would prefer to negotiate with @realDonaldTrump in office. https://t.co/mBNdGjC8EU",2
"@realDonaldTrump do you think before you open your mouth or is there just an endless stream of shit in your head and you have to relieve it?",-1
"@realDonaldTrump what do u think about global warming now bitch https://t.co/VwLTrp5isz",-3
"@CNN @KellyannePolls @realDonaldTrump @MittRomney @CNNPolitics  Looks like she spent some time in Trump's tanning booth!",1
