text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,score
RT @LouDobbs: Tonight's #QuoteoftheDay by @realDonaldTrump! #FoxLDT https://t.co/sJNa4m1LvI,FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LenoraKliemisch,1119,TRUE,FALSE,NA,NA,0
RT @LouDobbs: #DraintheSwamp underway -- @realDonaldTrump bans lobbying  in his admin for 5 yrs. Watch #FoxLDT Now,FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",itsownpace,639,TRUE,FALSE,NA,NA,0
RT @realDonaldTrump: I am the only Republican who will get large numbers of Dems and Indies (crossover). I will also get states that no oth…,FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",big_sean_carp,4299,TRUE,FALSE,NA,NA,0
"RT @realDonaldTrump: My transition team, which is working long hours and doing a fantastic job, will be seeing many great candidates today.…",FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",geronimo9281,17401,TRUE,FALSE,NA,NA,4
"RT @realDonaldTrump: My transition team, which is working long hours and doing a fantastic job, will be seeing many great candidates today.…",FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",marsbeyond,17401,TRUE,FALSE,NA,NA,4
"RT @realDonaldTrump: I will end illegal immigration and protect our borders! We need to MAKE AMERICA SAFE &amp; GREAT AGAIN! #Trump2016
https:/…",FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NCbgirl,6232,TRUE,FALSE,NA,NA,3
RT @LouDobbs: Tonight's #QuoteoftheDay by @realDonaldTrump! #FoxLDT https://t.co/sJNa4m1LvI,FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",perry46_Shirley,1119,TRUE,FALSE,NA,NA,0
RT @LouDobbs: BREAKING: Senior Official: @realDonaldTrump offers retired Lt. Gen. Michael Flynn position as National Security Adviser #FoxL…,FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cathie_lagrange,745,TRUE,FALSE,NA,NA,-1
"@EuroAmericans @realDonaldTrump The Wall got 10 feet higher!  We will build it out of dead mexican gangs, cartels, and corrupt politicians.",FALSE,0,EuroAmericans,11/18/2016 1:49,FALSE,7.99429E+17,7.99429E+17,494758799,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PosterityTitan,0,FALSE,FALSE,NA,NA,-1
"RT @realDonaldTrump: My transition team, which is working long hours and doing a fantastic job, will be seeing many great candidates today.…",FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Stealth_Patriot,17401,TRUE,FALSE,NA,NA,4
RT @LouDobbs: BREAKING: Senior Official: @realDonaldTrump offers retired Lt. Gen. Michael Flynn position as National Security Adviser #FoxL…,FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NoCal_530,745,TRUE,FALSE,NA,NA,-1
RT @RogerJStoneJr: Only @realDonaldTrump knows who is under consideration for high https://t.co/4DgWToy5d2,FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BydeepS,59,TRUE,FALSE,NA,NA,0
RT @LouDobbs: Tonight's #QuoteoftheDay by @realDonaldTrump! #FoxLDT https://t.co/sJNa4m1LvI,FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Henrylewski,1119,TRUE,FALSE,NA,NA,0
RT @LouDobbs: #DraintheSwamp underway -- @realDonaldTrump bans lobbying  in his admin for 5 yrs. Watch #FoxLDT Now,FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",BorthwickKathy,639,TRUE,FALSE,NA,NA,0
RT @realDonaldTrump: It was just announced that @MacMiller’s song “DonaldTrump” went platinum—tell  Mac Miller to kiss my ass!,FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bigpoppaaa_,52415,TRUE,FALSE,NA,NA,1
RT @LouDobbs: Tonight's #QuoteoftheDay by @realDonaldTrump! #FoxLDT https://t.co/sJNa4m1LvI,FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",LUSKER29,1119,TRUE,FALSE,NA,NA,0
"RT @realDonaldTrump: Australia, New Zealand, and more. I am always available to them. @nytimes is just upset that they looked like fools in…",FALSE,0,NA,11/18/2016 1:49,FALSE,NA,7.99429E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",madashellinstl,22529,TRUE,FALSE,NA,NA,3
