"text","score"
"RT @infowars: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/8BMY5xE9Zl",-1
"RT @RealAlexJones: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/CdMV5pTLOv",-1
"RT @infowars: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/8BMY5xE9Zl",-1
"@realDonaldTrump https://t.co/uVl4yta04I https://t.co/WUPuCtwnqa",0
"RT @infowars: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/8BMY5xE9Zl",-1
"RT @infowars: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/8BMY5xE9Zl",-1
"RT @infowars: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/8BMY5xE9Zl",-1
"This is brilliant. @realDonaldTrump silences security critics by making NSA first cabinet pick. #ISIS is not going… https://t.co/4WHTgmDHBI",1
"@realDonaldTrump making America great again. My man President Trump!",2
"RT @RealAlexJones: This Video Proves The Media is Lying About @realDonaldTrump - https://t.co/bWelewTxb9 #TrumpTheEstablishment",0
"RT @RealAlexJones: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/CdMV5pTLOv",-1
"RT @mySA: Mock assassination of @realDonaldTrump stirs controversy at #SanAntonio's Marshall High School https://t.co/qtdxBcM45z #satx http…",-2
"RT @RealAlexJones: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/CdMV5pTLOv",-1
"RT @infowars: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/8BMY5xE9Zl",-1
"RT @RealAlexJones: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/CdMV5pTLOv",-1
"RT @mySA: Mock assassination of @realDonaldTrump stirs controversy at #SanAntonio's Marshall High School https://t.co/qtdxBcM45z #satx http…",-2
"RT @mySA: Mock assassination of @realDonaldTrump stirs controversy at #SanAntonio's Marshall High School https://t.co/qtdxBcM45z #satx http…",-2
"RT @mySA: Mock assassination of @realDonaldTrump stirs controversy at #SanAntonio's Marshall High School https://t.co/qtdxBcM45z #satx http…",-2
"RT @RealAlexJones: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/CdMV5pTLOv",-1
"RT @infowars: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/8BMY5xE9Zl",-1
"RT @infowars: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/8BMY5xE9Zl",-1
"RT @infowars: Clinton’s Begging @realDonaldTrump To Stop Investigation of Hillary Through Chelsea - https://t.co/8BMY5xE9Zl",-1
