"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@realDonaldTrump 
Please consider Steve Forbes for Sec of Treasury. He know his stuff and can get the right things done. <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>",FALSE,0,"realDonaldTrump",2016-11-18 02:46:14,FALSE,"799232214793760768","799443569509400576","25073877","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ranchingranny",0,FALSE,FALSE,NA,NA
"@supportandefend @billhemmer @foxnews @heritage @realdonaldtrump @speakerryan @jjauthor Great idea. Who's gonna pay for it?",FALSE,0,"SupportAnDefend",2016-11-18 02:40:57,FALSE,"799439738100858880","799442240418430976","47704579","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","shrout_david",0,FALSE,FALSE,NA,NA
"audit the fed would accomplish much more and B very insightful. Maybe this is part of ""the swamp"" that needs draini… https://t.co/BrPJr7vXJk",FALSE,0,NA,2016-11-18 02:38:38,TRUE,NA,"799441656009265152",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ranchingranny",0,FALSE,FALSE,NA,NA
"Are #faithlesselectors a move by Mike Pence to backstab and usurp the presidency from @realDonaldTrump ?",FALSE,0,NA,2016-11-18 02:29:44,FALSE,NA,"799439415911157760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cliffhuckers",0,FALSE,FALSE,NA,NA
"If #MoralElectors refuse to vote for @realDonaldTrump , then House of Representatives decides the president and it could be Mike Pence",FALSE,0,NA,2016-11-18 02:27:05,FALSE,NA,"799438748752588800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cliffhuckers",0,FALSE,FALSE,NA,NA
"@realDonaldTrump @JudgeJeanine @seanhannity @oreillyfactor #MAGA",FALSE,0,"Bmbollinger",2016-11-18 02:26:42,FALSE,"799437822734135296","799438651868389376","57732182","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bmbollinger",0,FALSE,FALSE,NA,NA
"#MoralElectors could at least demand @realDonaldTrump repudiate racism and rescind Muslim ban in order to get their vote.",FALSE,0,NA,2016-11-18 02:24:34,FALSE,NA,"799438117480460288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cliffhuckers",0,FALSE,FALSE,NA,NA
"@realDonaldTrump awesome",FALSE,0,"realDonaldTrump",2016-11-18 02:23:20,FALSE,"799435824622252032","799437808188297216","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deliveryguy6980",0,FALSE,FALSE,NA,NA
"@realDonaldTrump sweet, and the Trump train keeps business here! We all together will make America great again.",FALSE,0,"realDonaldTrump",2016-11-18 02:22:59,FALSE,"799432403727028224","799437718992211969","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deliveryguy6980",0,FALSE,FALSE,NA,NA
"#MoralElectors should demand @realDonaldTrump release tax returns before they consecrate.",FALSE,0,NA,2016-11-18 02:21:59,FALSE,NA,"799437465526276096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cliffhuckers",0,FALSE,FALSE,NA,NA
"@realDonaldTrump @CondoleezzaRice should be candidate for ???",FALSE,0,"realDonaldTrump",2016-11-18 02:06:15,FALSE,NA,"799433505847451648","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gramakre",0,FALSE,FALSE,NA,NA
"the media still refers to @realDonaldTrump win as ""stunning"" only stunning 2 the liberal media.Not 2 us that R tired of career politicians.",FALSE,0,NA,2016-11-18 02:01:36,FALSE,NA,"799432337851174912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jnml",0,FALSE,FALSE,NA,NA
"Hey moron, you do realize that @realDonaldTrump won the election? @FoxNews, why this guest? https://t.co/rwmBv2of1j",FALSE,0,NA,2016-11-18 01:55:20,FALSE,NA,"799430761401024512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","garyln7",0,FALSE,FALSE,NA,NA
"@trump_first @retireleo @StephenBannon @realDonaldTrump Do these poor souls have any idea what they are proposing here? We don't fight fair.",FALSE,0,"trump_first",2016-11-18 01:53:19,FALSE,"799423272710524928","799430250694197249","613796565","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lon_sr",0,FALSE,FALSE,NA,NA
"@seanhannity @realDonaldTrump there was no love <U+2764><U+FE0F> fest or tingle down their legs",FALSE,0,"seanhannity",2016-11-18 01:47:49,FALSE,"799099243462094848","799428868817850368","41634520","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaryZahm",0,FALSE,FALSE,NA,NA
"@MikeyLutz619 @mikehawkXx @SenWarren @realDonaldTrump the man's conning you and he's not even trying hide it",FALSE,1,"MikeyLutz619",2016-11-18 01:21:26,FALSE,"799411028366766080","799422227422670848","2901550285","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tidmarsh2032",0,FALSE,FALSE,NA,NA
"#ElectoralCollege needs to act to stop fascism. They can vote for Donald Duck, for all I care, just not… https://t.co/TGKegjq5Jg",FALSE,2,NA,2016-11-18 01:16:43,TRUE,NA,"799421039511932928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cliffhuckers",0,FALSE,FALSE,NA,NA
