"text","score"
"While you were studying politics, @realDonaldTrump was learning the blade https://t.co/vTA4wRIMOJ",0
"@McFaul @washingtonpost so much for @realDonaldTrump rewarding his most loyal ppl w/powerful positions in his cabinet.",2
"Muslims  Declare To Christian Translator 'We Hate Christians… https://t.co/76I8Tbe6GU via @walidshoebat @realdonaldtrump #FalseFlag #ccot",-1
"@realDonaldTrump",0
"It's NOVEMBER 17th, 2016 and Flint still doesn't have clean water. #FlintWaterCrisis @onetoughnerd @realDonaldTrump https://t.co/lSzBnJJt5g",1
"@realDonaldTrump no you didn't. They were never moving the Lincoln to Mexico.",0
"@SenWarren @realDonaldTrump Wow! Take a look at one of his cabinet members! https://t.co/GqdUSDZn7B",1
"@CreweCitizen @realDonaldTrump @Nigel_Farage historic?",1
"To you morons that supported @realDonaldTrump because well emails ya know. Own this. And the alt-right as well.  https://t.co/Dbbz8qo9Rr",2
"Help wanted: Position oppressing Muslims, blacks, women, gays. Coke addiction a plus. Penis prfd. Exp not required. See @realDonaldTrump",0
"RT @Jacob_B_Shaver: I'm one atheist who VEHEMENTLY rejects @realDonaldTrump proposal of a ""Muslim registry."" We will not let Trump target M…",-2
"RT @_TomHopper: Just used my $$ to show my disgust...@Lowes is now my go-to store! @realDonaldTrump is #notmypresident  https://t.co/LCcVTv…",1
"@realDonaldTrump  no one cares what the corrupt media says anyway just keep doing what you do Mr. President",0
"If he is capable of getting out of his own way and actually LISTENING- no one would have better advice than POTUS!!… https://t.co/srD8pO7Lyg",4
"@SenatorSessions is appearing to be @realDonaldTrump's top choice for the Trump Cabinet!

https://t.co/yXHQs727IU",2
"@MittRomney and @realDonaldTrump, plan to discuss Secretary of State. Personally, I think would be a great choice. 

https://t.co/9NtdCMs9AW",1
"#Democrats has been thru hell they had to put up with #Obama #Clinton #Tyrants their #FREE NOW LETS ALL COME TOGETHER THRU @realDonaldTrump",0
"#Obama won cuz he cheated he thought he'd do it again for #Clinton BUT @realDonaldTrump was too smart and he won th… https://t.co/GmLNbQ83S1",1
"I think its awesome #Trump bringing our Country together including #Democrats who been terrorized for awhile @FoxNews @realDonaldTrump",2
"Just used my $$ to show my disgust...@Lowes is now my go-to store! @realDonaldTrump is #notmypresident  https://t.co/LCcVTvJcnj",1
"Hey @realDonaldTrump? Can you be man enough to stand by your previous comments about EC bein outdated &amp; step aside… https://t.co/9uSDtVc0G7",1
"RT @Jacob_B_Shaver: I'm one atheist who VEHEMENTLY rejects @realDonaldTrump proposal of a ""Muslim registry."" We will not let Trump target M…",-2
"RT @Jacob_B_Shaver: I'm one atheist who VEHEMENTLY rejects @realDonaldTrump proposal of a ""Muslim registry."" We will not let Trump target M…",-2
"RT @dhfull50: .@realDonaldTrump @JoyAnnReid @NBCNews @KeithOlbermann @NBCNews @MSNBC @ABC @CBSNews https://t.co/cAFrSuIPJM",0
"RT @dhfull50: .@realDonaldTrump @JoyAnnReid @NBCNews @KeithOlbermann @NBCNews @MSNBC @ABC @CBSNews https://t.co/cAFrSuIPJM",0
"bernie, my man, @ him next time- @realDonaldTrump https://t.co/77S6vKOCxK",0
"RT @Jacob_B_Shaver: I'm one atheist who VEHEMENTLY rejects @realDonaldTrump proposal of a ""Muslim registry."" We will not let Trump target M…",-2
"RT @Jacob_B_Shaver: I'm one atheist who VEHEMENTLY rejects @realDonaldTrump proposal of a ""Muslim registry."" We will not let Trump target M…",-2
"RT @dhfull50: .@realDonaldTrump @JoyAnnReid @NBCNews @KeithOlbermann @NBCNews @MSNBC @ABC @CBSNews https://t.co/cAFrSuIPJM",0
"RT @Jacob_B_Shaver: I'm one atheist who VEHEMENTLY rejects @realDonaldTrump proposal of a ""Muslim registry."" We will not let Trump target M…",-2
"RT @Jacob_B_Shaver: I'm one atheist who VEHEMENTLY rejects @realDonaldTrump proposal of a ""Muslim registry."" We will not let Trump target M…",-2
"@Siubhan_H @godless_mom @realDonaldTrump We won't allow that to happen. They'll regret ever trying to push this kind of bigotry.",-2
"RT @Jacob_B_Shaver: I'm one atheist who VEHEMENTLY rejects @realDonaldTrump proposal of a ""Muslim registry."" We will not let Trump target M…",-2
"I'm one atheist who VEHEMENTLY rejects @realDonaldTrump proposal of a ""Muslim registry."" We will not let Trump target Muslim Americans.",-2
"@realDonaldTrump please stop putting racist and controversial people in your cabinet. @KellyAyotte is a way better choice than those people.",1
"Welcome to @realDonaldTrump 'a America. https://t.co/fqLKUINlrX",1
".@HillaryClinton is the President elected by the votes of the people. @realDonaldTrump was elected by the Electoral College. #NotMyPresident",0
"@toreilly @TrumpReady @realDonaldTrump you need to stop Federal funding for schools and students tired of this disrespectful people @FoxNews",-2
".@realDonaldTrump @JoyAnnReid @NBCNews @KeithOlbermann @NBCNews @MSNBC @ABC @CBSNews https://t.co/cAFrSuIPJM",0
"We need to stand together against @FoxNews we want 3 people gone JULIE MEGYN AND JUAN WERE TIRED OF THEIR DISRESPECT TO @realDonaldTrump",-2
"EXCUSE ME #OBAMA @realDonaldTrump 4 years is a LONG TIME WAS YOU THREATENING OUR FUTURE PRESIDENT SAYIN HE WONT BE THERE VERY LONG @FoxNews",-1
"She looks like crap has she stayed drunk is she drunk? She needs to see her Doctor #Hillary go to Dr… https://t.co/9UuMNlhg64",-2
"#Obama used #Merkle his minipulation of words to destabilize #Germany @realDonaldTrump will HELP fix it I BELIEVE IN YOU #TRUMP #GOD TOO",2
"@realDonaldTrump An enemies list is assured with you, so go ahead and jot my name down. #trumpenemies",-1
"@realDonaldTrump   Read #Shariah law's unintended consequences on #labor, #children and #workers here:   https://t.co/VAUwuMZjVW",0
"@Stevenwhirsch99 @GenFlynn @JohnKStahlUSA @realDonaldTrump  Same reason Universities want protests to keep illegals &amp; Felons rob banks, $$$$",-1
"@realDonaldTrump wondering if you can eliminate some government jobs in Michigan, the attorney general's office is a good place to start.",2
"The wall at the US/Mexico border. @realDonaldTrump #Trump #altright https://t.co/0k360XNUkx",1
"Dang, everyone please keep supporting our man @realDonaldTrump he deserves it im sick right now #Democrats keep getting worst these days!",-2
"Im going to give @realDonaldTrump a chance and listen to him.... #revolution 
#ResistanceIsMandatory https://t.co/mwv16JJfBq",0
"Please do everything in your power to help the Kurds. They have earned, and deserve a FREE and independent #Kurdistan   @realDonaldTrump",2
"UPDATE: @vbernero New Mayors Manufacturing Initiative w/Pittsburgh mayor Puduto--""Looking forward to meeting @realDonaldTrump""",1
"@realDonaldTrump https://t.co/Ul563YG9vq",0
"After a huge win for @realDonaldTrump in Michigan, what will Scott @followscott Hagerstrom do for an encore? He's next w/Dave @1320WILS",1
"@TrumpDynastyUSA @realDonaldTrump OUR LIVES MATTER",0
"@devchelle @realDonaldTrump the NYT's hasn't yet told him this so henhas nothing rail against yet",-2
"I can't imagine that kind of pain &amp; betrayal. While @realDonaldTrump  had nothing 2 do w/that horrible event he nee… https://t.co/QBWQCLz2KW",-4
".@realDonaldTrump is the real loser.  @HillaryClinton is the President voted by the people.<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> https://t.co/6TBshhflfq",0
"@realDonaldTrump u remember when u fucked me in the mouth and called me non stop til I let you eat my shit in a sex swing?",-3
"@realDonaldTrump Mr. PRESIDENT I would like to know if you are going to address common core in our school systems",1
"@realDonaldTrump people hate you dude",-1
"@realDonaldTrump can't get in there fast enough @KevinJacksonTBS https://t.co/EK9XDF1i9b",2
"@megynkelly @FoxNews @realDonaldTrump Do they deserve that consideration? Not Pres until Jan 20 But he &amp; team working hard already. Butt out",-3
"@realDonaldTrump @nytimes . If you can do simple math. Count your blessings https://t.co/DyArxqRSiQ",0
"RT @ReviewTheEarth: @realDonaldTrump = WE THE PEOPLE want #TreyGowdyForAG + #RonPaulForTreasury = Making America Great Again!! LETS DO THIS…",1
"RT @ReviewTheEarth: @realDonaldTrump = WE THE PEOPLE want #TreyGowdyForAG and #RonPaulForTreasury !!!  Please CONTINUE to make our dreams R…",0
"RT @wolfetooth: @realDonaldTrump #TreyGowdyForAG #ronpaulfortreasury",0
"RT @ReviewTheEarth: #TreyGowdy4AG #TreyGowdyForAG = spread this like wild fire!!! Let @realDonaldTrump + @mike_pence + @TGowdySC know USA w…",0
"New Mutant Christians…https://t.co/OVB4MvW1RI via @walidshoebat @realdonaldtrump @realalexjones #FalseFlag #ccot @POTUS #muslimbrotherhood",1
"@realDonaldTrump @nytimes .The protesters of the Syrian government. So sad they are continuing to be exterminated. https://t.co/SH4bIvmbI7",-1
"@TheJuanWilliams @realDonaldTrump @FoxNews @fxnopinion  the press pool was the first swamp drained!",-1
"@YahyaJohn @realDonaldTrump @nytimes you have issues get help! The man isn't even in office you're condemning him ! I am praying for you",0
"@realDonaldTrump @nytimes . The enemies of America. Hate the fact of America becoming great again. That's blatantly… https://t.co/VW0oE5w0gG",-1
"@realDonaldTrump, one way Mayors, Governors could keep #sanctuarycities going is #legalize drugs, tax them. Helps police too @JerryBrownGov",0
"@AP_Sports @jaketapper @realDonaldTrump @AP How nice?!? Not stationary or bathroom wall?!?",0
"@seanhannity @themadhatter355 @realDonaldTrump Son &amp; I agree, outskirts of Lansing MI beginning 2 look like Detroit Boarded up sm businesses",1
"@csull2533 @GMA @realDonaldTrump doesn't make him not a racist",-2
"@DonaldJTrumpJr @FloydMayweather @realDonaldTrump way to go, dweeb.",0
