"text","score"
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"Where can I get in line for a senior job that doesn't require a lifetime of experience, bonafides, &amp; ethics. Any advice, @realDonaldTrump?",0
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"@realDonaldTrump @daveweigel @MacMiller  Tweeting oldies but goodies from President #Chump.",-1
"@seanhannity @realDonaldTrump The Liberals wanted a young,black (even tho he is half white)president. He was a fresh face compared 2 HiLIARy",1
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"Wonder if @realdonaldtrump watches @ABCDesignated. That's life of a President. Maybe even worse",0
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"@realDonaldTrump @nytimes you are going to be a great president. Media and haters needs to stop and realize you are going to #MAGA",0
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"FU <ed><U+00A0><U+00BD><ed><U+00B6><U+0095> Steve Bannon and @realDonaldTrump. #AltRight 
https://t.co/iNBSHYxxmO",0
"@realDonaldTrump don't pay attention to the libs and haters. Your a great person and so is your family. #PresidentElectTrump",0
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"RT @realAngeloGomez: I decided as a student, a Hispanic, and an American to support @realDonaldTrump:a leader, a father, and a unifier. htt…",1
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"@amjoyshow this is heartbreaking, @realDonaldTrump caused damage to our country.  https://t.co/3JU7u0YXtd",-2
"@BreitbartNews Why does #CrookedHillary need a pardon if she was cleared by the FBI? AnnCoulter @realDonaldTrump @altrightch @_AltRight_Anew",2
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"RT @TeaPartyNevada: #POTUS45 and the #FirstLadyToBe #PresidentElect @realDonaldTrump at #Inauguration location. 68 days to go! @NJMIPO http…",0
"@donlemon @CNN @seanhannity @realDonaldTrump how dare u assume this will happen what did dems do to JFK you all salivated with LBJ don nuts",0
"@donlemon @CNN @seanhannity @realDonaldTrump u f a sick nut showing Reagan ass on tv you been brainwashing these baby socialist for years",-1
"@CohenTisha 
@realDonaldTrump has this habit of giving people their chance...
And then saying #YoureFired when they #Fail...",-1
"@realDonaldTrump would've said the certificate was fake https://t.co/3hTTPdO8Ct",-1
"I love you Donny @realDonaldTrump I just wanted to say that, cause I really feel it <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><U+270C><ed><U+00A0><U+00BD><ed><U+00B8><U+00BA><ed><U+00A0><U+00BD><ed><U+00B2><U+009F><ed><U+00A0><U+00BD><ed><U+00B5><U+008A>",2
"@MittRomney being considered for cabinet position?

@realDonaldTrump is planning on appointing Romney?

What????!!!!",0
"So @realDonaldTrump's meeting with @MittRomney Saturday. I wonder if Mitt will be dropping to his knees then! Hahaha
https://t.co/GIvosWobVG",1
"@realDonaldTrump Take ur time. Be right Make sure we do what we said we'd do. Don't give any major post to a naysayer. Don't reward enemies.",1
"@realDonaldTrump Before considering Romney, watch this video.  Thank you.  https://t.co/onMrmsV476",1
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"@JOMainEvent @realDonaldTrump How is this desperate? picking cabinet members is a BIG deal. But i guess your new to this like you said",1
"@realDonaldTrump Please President-Elect Trump, DO NOT select Mitt Romney for ANY position on your cabinet.  He is a RINO of the worst degree",-3
"@wolfblitzer @GOP @realDonaldTrump @seanspicer give em hell Wolfie",-1
"@phillygodfather @twitter @realDonaldTrump 300 is nothing.",-1
"@WDFx2EU10 @veganvecoh @realDonaldTrump @CNN @brianstelter THEY DID THIS 2 THEMSELVES. TRUMP OWES THEM NOTHING. AMERICANS STOP WATCHING #MSM",0
"@WDFx2EU10 @veganvecoh @CNN #media access should B nil. @NBCNews @CBSNews @ABC We can follow @realDonaldTrump online&amp;read @wikileaks 4 truth",1
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"RT @IMissPrinceToo: @NewtTrump @bossgrady I trust @realDonaldTrump adult children with top security clearance more so than anyone (D) would…",2
"RT @themouthmatusow: Wait this doesn't look like @realDonaldTrump ? https://t.co/YzRcN9LTbQ",1
"Media is absolute pain in the ass. most I cld watch was how freaking annoying it was to hear @HallieJackson repeat… https://t.co/kmCkPZVNtb",-3
"@realDonaldTrump @mike_pence pick your advisors and cabinet carefully and you will be a great administration!… https://t.co/CmUBCZ2GU8",1
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
"@realDonaldTrump We voted for change from current system please don't let them sway you from your original agenda.",0
"RT @realAngeloGomez: I decided as a student, a Hispanic, and an American to support @realDonaldTrump:a leader, a father, and a unifier. htt…",1
"RT @realAngeloGomez: It was an honor to intern for @realDonaldTrump I am going to miss these days.@transition2017 On to #MAGA https://t.co/…",0
