"text","score"
"RT @patrioticpepe: @realDonaldTrump ONLY TRUMP WILL DRAIN THE SWAMP IN DC!!!!! #MAGA",-1
"RT @FoxNews: Dow rally since @realDonaldTrump win. https://t.co/rqAI6bc8QY",1
"@TeamTrump @realDonaldTrump Mr.Trump DON'T Cave in to that little Minnie HILLARY ( CHELSEA CLINTON).Also HILLARY 4… https://t.co/3Li732k0Au",-2
"@VikingsFan1964 @realDonaldTrump @nytimes <ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E>",0
"RT @FoxNews: Dow rally since @realDonaldTrump win. https://t.co/rqAI6bc8QY",1
"RT @patrioticpepe: @realDonaldTrump ONLY TRUMP WILL DRAIN THE SWAMP IN DC!!!!! #MAGA",-1
"RT @patrioticpepe: @realDonaldTrump WE MUST MAKE OUR MILITARY GREAT AGAIN! #SupportOurTroops",1
"@realDonaldTrump I would love to work for you in any capacity. I have a bba in business management Was a collegiate athlete playing softball",2
"@ChrisEvans @realDonaldTrump Our founding fathers designed the electoral college so the system would be fair to all states. Get a grip.",1
"@Harlan @realDonaldTrump It's amazing to have a prez who actually...works!  Feels good, man.",4
"RT @GOPPollAnalyst: Already saving jobs. Thank you President @realDonaldTrump https://t.co/bD22EXf2Ph",2
"@realDonaldTrump @IvankaTrump @EricTrump @DonaldJTrumpJr @MELANIATRUMP https://t.co/zTAuJTIknR Congrats President Elect Trump",1
"RT @DineshDSouza: Economist Joel Stern says that with sound policies @realDonaldTrump can triple this country's economic growth rate https:…",-1
"RT @Don_Vito_08: The 45th President Of The United States Is ""MY PRESIDENT"" @realDonaldTrump
It's Time To Go To Work #PresidentElect #TrumpT…",1
